name,total_area_km2,average_flood_score,max_flood_score,dominant_risk_class,dominant_risk_label,high_risk_area_km2,very_high_risk_area_km2,high_very_high_area_km2,high_very_high_pct
Strathcona,4.361175,3.6296005249023438,5.0,5,Very High Risk,0.0097,1.7868000000000002,1.7965000000000002,41.19302710852007
Kerrisdale,6.5950500000000005,2.5425140857696533,5.0,1,Very Low Risk,0.0,1.76455,1.76455,26.755672815217473
Dunbar-Southlands,9.022725000000001,2.3646626472473145,5.0,1,Very Low Risk,0.0,2.0265750000000002,2.0265750000000002,22.460786514052018
Downtown,4.661475,3.0097012519836426,5.0,3,Moderate Risk,0.06972500000000001,0.9033500000000001,0.9730750000000001,20.874830391667874
Marpole,5.987075,2.6001973152160645,5.0,2,Low Risk,0.006825,1.19465,1.201475,20.067812746625023
Sunset,6.56405,2.1465725898742676,5.0,1,Very Low Risk,0.01345,0.976025,0.989475,15.074153914123139
West Point Grey,5.257975,2.182245969772339,5.0,1,Very Low Risk,0.005425,0.5416000000000001,0.5470250000000001,10.403720063332369
Mount Pleasant,3.7205000000000004,2.217965602874756,5.0,2,Low Risk,0.0007,0.34240000000000004,0.3431,9.221878779733906
Fairview,3.6340250000000003,2.302535057067871,5.0,2,Low Risk,0.0051,0.305775,0.310875,8.554564154071587
Killarney,6.9039,1.8164855241775513,5.0,1,Very Low Risk,0.00975,0.56005,0.5698000000000001,8.253306102347949
Grandview-Woodland,4.74585,2.2431044578552246,5.0,2,Low Risk,0.0005250000000000001,0.37745,0.377975,7.964326727561975
Hastings-Sunrise,8.305,1.9000579118728638,5.0,1,Very Low Risk,0.330725,0.13435,0.465075,5.599939795304034
Renfrew-Collingwood,8.078575,1.5702528953552246,4.099999904632568,1,Very Low Risk,0.333475,0.0,0.333475,4.127893842664084
Kitsilano,6.346025,2.3840060234069824,5.0,2,Low Risk,0.0026750000000000003,0.22725,0.22992500000000002,3.623134166663384
Victoria-Fraserview,5.49315,1.6060281991958618,5.0,1,Very Low Risk,2.5e-05,0.12565,0.125675,2.2878494124500515
West End,2.2461,2.2587530612945557,5.0,2,Low Risk,0.000375,0.044625000000000005,0.045000000000000005,2.0034726859890477
Arbutus Ridge,3.69945,1.6575405597686768,2.049999952316284,1,Very Low Risk,0.0,0.0,0.0,0.0
Shaughnessy,4.4799,1.3708455562591553,2.049999952316284,1,Very Low Risk,0.0,0.0,0.0,0.0
Riley Park,4.931150000000001,1.4186252355575562,2.049999952316284,1,Very Low Risk,0.0,0.0,0.0,0.0
South Cambie,2.175975,1.4065557718276978,2.049999952316284,1,Very Low Risk,0.0,0.0,0.0,0.0
Kensington-Cedar Cottage,7.25225,1.5283197164535522,2.5,1,Very Low Risk,0.0,0.0,0.0,0.0
Oakridge,4.022975000000001,1.4063670635223389,2.049999952316284,1,Very Low Risk,0.0,0.0,0.0,0.0
