name,risk_class,risk_label,cell_count,area_km2,percentage
Arbutus Ridge,1,Very Low Risk,88210,2.20525,59.61021232885969
Arbutus Ridge,2,Low Risk,59768,1.4942,40.389787671140304
Arbutus Ridge,3,Moderate Risk,0,0.0,0.0
Arbutus Ridge,4,High Risk,0,0.0,0.0
Arbutus Ridge,5,Very High Risk,0,0.0,0.0
Downtown,1,Very Low Risk,13777,0.34442500000000004,7.388755705007536
Downtown,2,Low Risk,65932,1.6483,35.36005234394693
Downtown,3,Moderate Risk,67827,1.695675,36.37636155937766
Downtown,4,High Risk,2789,0.06972500000000001,1.4957711883041314
Downtown,5,Very High Risk,36134,0.9033500000000001,19.379059203363745
Dunbar-Southlands,1,Very Low Risk,207026,5.17565,57.36238220714917
Dunbar-Southlands,2,Low Risk,58692,1.4673,16.26227109880884
Dunbar-Southlands,3,Moderate Risk,14128,0.3532,3.91456017998997
Dunbar-Southlands,4,High Risk,0,0.0,0.0
Dunbar-Southlands,5,Very High Risk,81063,2.0265750000000002,22.460786514052018
Fairview,1,Very Low Risk,52060,1.3015,35.81428306079347
Fairview,2,Low Risk,55074,1.3768500000000001,37.88774155378678
Fairview,3,Moderate Risk,25792,0.6448,17.743411231348162
Fairview,4,High Risk,204,0.0051,0.14034025632735053
Fairview,5,Very High Risk,12231,0.305775,8.414223897744238
Grandview-Woodland,1,Very Low Risk,70756,1.7689000000000001,37.272564451046705
Grandview-Woodland,2,Low Risk,75720,1.893,39.887480640981074
Grandview-Woodland,3,Moderate Risk,28239,0.705975,14.875628180410255
Grandview-Woodland,4,High Risk,21,0.0005250000000000001,0.011062296532760203
Grandview-Woodland,5,Very High Risk,15098,0.37745,7.953264431029215
Hastings-Sunrise,1,Very Low Risk,185461,4.636525,55.82811559301626
Hastings-Sunrise,2,Low Risk,106006,2.65015,31.910295003010237
Hastings-Sunrise,3,Moderate Risk,22130,0.55325,6.661649608669477
Hastings-Sunrise,4,High Risk,13229,0.330725,3.982239614689946
Hastings-Sunrise,5,Very High Risk,5374,0.13435,1.617700180614088
Kensington-Cedar Cottage,1,Very Low Risk,234790,5.869750000000001,80.93695060153746
Kensington-Cedar Cottage,2,Low Risk,55300,1.3825,19.063049398462546
Kensington-Cedar Cottage,3,Moderate Risk,0,0.0,0.0
Kensington-Cedar Cottage,4,High Risk,0,0.0,0.0
Kensington-Cedar Cottage,5,Very High Risk,0,0.0,0.0
Kerrisdale,1,Very Low Risk,138550,3.46375,52.5204509442688
Kerrisdale,2,Low Risk,41541,1.0385250000000001,15.747037550890441
Kerrisdale,3,Moderate Risk,13129,0.328225,4.9768386896232775
Kerrisdale,4,High Risk,0,0.0,0.0
Kerrisdale,5,Very High Risk,70582,1.76455,26.755672815217473
Killarney,1,Very Low Risk,225445,5.636125,81.63682845927663
Killarney,2,Low Risk,13690,0.34225,4.957342951085618
Killarney,3,Moderate Risk,14229,0.355725,5.152522487289793
Killarney,4,High Risk,390,0.00975,0.1412245252683266
Killarney,5,Very High Risk,22402,0.56005,8.112081577079621
Kitsilano,1,Very Low Risk,41704,1.0426,16.42918204702944
Kitsilano,2,Low Risk,149210,3.7302500000000003,58.780890399896
Kitsilano,3,Moderate Risk,53730,1.34325,21.16679338641118
Kitsilano,4,High Risk,107,0.0026750000000000003,0.04215237097238035
Kitsilano,5,Very High Risk,9090,0.22725,3.5809817956910037
Marpole,1,Very Low Risk,71103,1.7775750000000001,29.690207655658234
Marpole,2,Low Risk,91284,2.2821000000000002,38.11711060910378
Marpole,3,Moderate Risk,29037,0.725925,12.124868988612972
Marpole,4,High Risk,273,0.006825,0.11399556544723427
Marpole,5,Very High Risk,47786,1.19465,19.953817181177786
Mount Pleasant,1,Very Low Risk,57026,1.42565,38.318774358285175
Mount Pleasant,2,Low Risk,61110,1.5277500000000002,41.06302916274694
Mount Pleasant,3,Moderate Risk,16960,0.42400000000000004,11.396317699233974
Mount Pleasant,4,High Risk,28,0.0007,0.01881467544684854
Mount Pleasant,5,Very High Risk,13696,0.34240000000000004,9.203064104287058
Oakridge,1,Very Low Risk,160455,4.011375,99.71165617484571
Oakridge,2,Low Risk,464,0.011600000000000001,0.28834382515427015
Oakridge,3,Moderate Risk,0,0.0,0.0
Oakridge,4,High Risk,0,0.0,0.0
Oakridge,5,Very High Risk,0,0.0,0.0
Renfrew-Collingwood,1,Very Low Risk,273750,6.84375,84.71481666011641
Renfrew-Collingwood,2,Low Risk,30083,0.752075,9.30950074734715
Renfrew-Collingwood,3,Moderate Risk,5971,0.14927500000000002,1.8477887498723478
Renfrew-Collingwood,4,High Risk,13339,0.333475,4.127893842664084
Renfrew-Collingwood,5,Very High Risk,0,0.0,0.0
Riley Park,1,Very Low Risk,187024,4.6756,94.8176388874806
Riley Park,2,Low Risk,10222,0.25555,5.182361112519391
Riley Park,3,Moderate Risk,0,0.0,0.0
Riley Park,4,High Risk,0,0.0,0.0
Riley Park,5,Very High Risk,0,0.0,0.0
Shaughnessy,1,Very Low Risk,178433,4.460825,99.5742092457421
Shaughnessy,2,Low Risk,763,0.019075,0.42579075425790763
Shaughnessy,3,Moderate Risk,0,0.0,0.0
Shaughnessy,4,High Risk,0,0.0,0.0
Shaughnessy,5,Very High Risk,0,0.0,0.0
South Cambie,1,Very Low Risk,86259,2.156475,99.10384999827662
South Cambie,2,Low Risk,780,0.0195,0.8961500017233652
South Cambie,3,Moderate Risk,0,0.0,0.0
South Cambie,4,High Risk,0,0.0,0.0
South Cambie,5,Very High Risk,0,0.0,0.0
Strathcona,1,Very Low Risk,1131,0.028275,0.6483344511513526
Strathcona,2,Low Risk,42265,1.0566250000000001,24.227989016721413
Strathcona,3,Moderate Risk,59191,1.479775,33.930649423607164
Strathcona,4,High Risk,388,0.0097,0.2224171238255745
Strathcona,5,Very High Risk,71472,1.7868000000000002,40.9706099846945
Sunset,1,Very Low Risk,178798,4.46995,68.09743984277999
Sunset,2,Low Risk,28412,0.7103,10.821063215545282
Sunset,3,Moderate Risk,15773,0.39432500000000004,6.007343027551588
Sunset,4,High Risk,538,0.01345,0.20490398458268907
Sunset,5,Very High Risk,39041,0.976025,14.869249929540452
Victoria-Fraserview,1,Very Low Risk,195027,4.875675,88.75918189017231
Victoria-Fraserview,2,Low Risk,11761,0.29402500000000004,5.352575480371008
Victoria-Fraserview,3,Moderate Risk,7911,0.197775,3.6003932170066357
Victoria-Fraserview,4,High Risk,1,2.5e-05,0.00045511227619853825
Victoria-Fraserview,5,Very High Risk,5026,0.12565,2.287394300173853
West End,1,Very Low Risk,21126,0.52815,23.51409109122479
West End,2,Low Risk,49423,1.235575,55.009794755353724
West End,3,Moderate Risk,17495,0.437375,19.472641467432435
West End,4,High Risk,15,0.000375,0.016695605716575395
West End,5,Very High Risk,1785,0.044625000000000005,1.9867770802724722
West Point Grey,1,Very Low Risk,125110,3.1277500000000003,59.48582866978257
West Point Grey,2,Low Risk,22119,0.552975,10.516881499056195
West Point Grey,3,Moderate Risk,41209,1.030225,19.59356976782887
West Point Grey,4,High Risk,217,0.005425,0.10317660315996179
West Point Grey,5,Very High Risk,21664,0.5416000000000001,10.300543460172406
